HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HBS,ABS,HC,AC,HOFF,AOFF,HTP,ATP,HKP,AKP,HAP,AAP,HAC,AAC,HALB,AALB,HT,AT,HT,AT,HT,AT,HGS,AGS,Resultado
Adana Demirspor,Giresunspor (Giresun),1,1,75%,25%,31,15,10,4,0,1,17,1,585,202,23,7,523 (89%),134 (66%),13 (31%),1 (20%),20 (58%),30 (42%),23,18,7,14,9,31,1,4,0
Kasimpasa (Estambul),Fatih Karagumruk,2,2,44%,56%,12,11,4,3,1,0,5,8,409,529,8,11,296 (72%),417 (78%),4 (22%),9 (47%),30 (38%),51 (45%),9,16,10,8,18,18,2,2,0
Umraniyespor,İstanbulspor,0,2,70%,30%,27,13,8,1,12,2,2,2,599,276,17,8,509 (84%),169 (61%),11 (28%),1 (33%),52 (55%),23 (27%),15,19,11,11,5,27,1,7,-2
Trabzonspor (Trabzon),Estambul BFK,1,0,39%,61%,16,1,5,2,10,0,4,1,353,541,6,10,264 (74%),466 (86%),4 (33%),13 (48%),25 (36%),48 (57%),16,12,10,5,18,10,3,3,1
Adana Demirspor,Ankaragucu (Ankara),3,1,49%,51%,12,24,10,3,7,5,13,4,449,463,8,17,375 (83%),381 (82%),2 (13%),9 (29%),34 (53%),21 (39%),12,16,9,15,23,18,9,3,2
Konyaspor (Konya),Besiktas (Estambul),1,2,41%,59%,15,20,3,7,4,5,2,1,343,501,13,14,257 (74%),394 (78%),8 (36%),5 (20%),27 (39%),26 (32%),16,18,12,9,28,16,2,6,-1
Antalyaspor (Antalya),Giresunspor (Giresun),2,2,47%,53%,12,21,0,7,5,4,2,0,374,416,10,16,253 (67%),311 (74%),5 (33%),4 (26%),25 (23%),41 (37%),17,16,14,18,15,23,7,3,0
Galatasaray (Estambul),Hatayspor,4,0,64%,36%,28,10,13,10,5,1,8,3,618,311,19,7,551 (89%),237 (76%),12 (40%),3 (14%),28 (62%),28 (40%),16,13,5,11,16,22,4,6,4
Kayserispor (Kayseri),Sivasspor (Sivas),4,1,56%,44%,15,17,11,0,3,5,4,1,485,362,11,10,414 (85%),289 (79%),5 (26%),7 (33%),29 (46%),26 (49%),32,16,10,8,24,19,5,7,3
İstanbulspor,Gazisehir Gaziantep,1,1,55%,45%,12,5,1,1,0,7,3,3,545,446,8,7,436 (80%),355 (79%),5 (22%),6 (50%),48 (44%),16 (23%),14,21,11,11,9,31,2,1,0
Estambul BFK,Adana Demirspor,2,1,55%,45%,16,18,7,7,1,0,6,4,494,407,13,12,425 (86%),324 (79%),3 (14%),3 (23%),38 (52%),34 (53%),12,16,8,8,19,17,3,3,1
Fenerbahce (Estambul),Galatasaray (Estambul),0,3,61%,39%,13,13,2,3,8,5,2,5,484,284,10,7,381 (78%),192 (67%),4 (18%),2 (16%),35 (37%),22 (32%),19,26,5,11,11,26,5,5,-3
Ankaragucu (Ankara),Kayserispor (Kayseri),2,1,51%,49%,20,10,10,5,3,8,2,1,475,465,13,4,403 (84%),390 (83%),7 (29%),0 (0%),36 (54%),42 (61%),17,12,13,9,16,19,0,3,1
Giresunspor (Giresun),Umraniyespor,0,1,56%,44%,24,11,10,3,14,7,1,1,394,321,16,6,310 (78%),237 (73%),10 (21%),3 (18%),28 (50%),25 (49%),16,18,10,10,20,51,1,5,-1
Fatih Karagumruk,Konyaspor (Konya),3,3,39%,61%,16,1,2,1,6,3,3,5,433,517,5,10,337 (77%),432 (83%),1 (16%),11 (28%),23 (31%),37 (56%),12,14,5,10,34,4,6,2,0
Besiktas (Estambul),Kasimpasa (Estambul),2,1,61%,39%,14,12,3,3,7,7,0,1,496,396,13,8,407 (82%),312 (78%),8 (30%),4 (17%),28 (40%),28 (42%),16,10,8,16,19,28,3,6,1
Hatayspor,Antalyaspor (Antalya),0,0,50%,50%,11,0,4,3,2,2,1,2,493,441,7,5,409 (82%),364 (82%),5 (31%),1 (7%),44 (57%),25 (34%),11,9,13,10,13,17,3,4,0
Trabzonspor (Trabzon),Giresunspor (Giresun),3,0,68%,32%,17,5,2,10,1,2,5,2,746,364,16,4,668 (89%),288 (79%),6 (26%),2 (40%),40 (61%),35 (47%),16,27,8,15,5,18,1,7,3
Gazisehir Gaziantep,Estambul BFK,1,1,44%,56%,14,16,4,6,5,5,2,0,441,567,11,13,348 (78%),488 (86%),6 (33%),4 (30%),26 (34%),50 (57%),18,13,9,17,11,22,5,2,0
Galatasaray (Estambul),Ankaragucu (Ankara),2,1,44%,56%,12,1,4,6,4,2,3,2,367,478,11,8,277 (75%),376 (78%),7 (36%),6 (37%),32 (44%),33 (36%),24,17,11,15,21,13,1,3,1
Konyaspor (Konya),Sivasspor (Sivas),2,2,54%,46%,10,10,1,0,1,1,4,3,476,401,6,9,401 (84%),320 (79%),6 (28%),5 (31%),37 (64%),36 (53%),13,24,19,13,11,19,1,3,0
Kasimpasa (Estambul),FC Alaniyaspor,4,1,29%,71%,11,14,0,3,1,7,3,1,276,646,8,11,186 (67%),565 (87%),2 (28%),11 (27%),24 (27%),28 (59%),17,6,17,6,32,7,1,2,3
Kayserispor (Kayseri),Fatih Karagumruk,2,4,66%,34%,19,11,9,2,1,0,6,2,578,321,15,7,490 (84%),228 (71%),12 (38%),0 (0%),29 (50%),22 (24%),23,22,5,7,13,24,3,3,-2
Antalyaspor (Antalya),Fenerbahce (Estambul),1,2,36%,64%,18,3,6,0,1,3,8,7,250,443,8,10,146 (58%),350 (79%),3 (23%),7 (33%),37 (33%),42 (57%),48,8,9,5,25,11,2,1,-1
Umraniyespor,Hatayspor,2,2,48%,52%,11,17,10,3,2,1,0,5,386,425,8,12,303 (78%),337 (79%),7 (26%),5 (33%),29 (43%),24 (37%),10,14,3,8,25,14,3,3,0
Giresunspor (Giresun),Gazisehir Gaziantep,2,1,49%,51%,13,11,5,2,6,3,1,1,412,464,11,9,321 (77%),364 (78%),3 (10%),4 (26%),33 (44%),29 (31%),14,18,9,5,14,25,5,4,1
Sivasspor (Sivas),Galatasaray (Estambul),1,2,48%,52%,15,12,2,1,2,3,7,2,385,424,10,8,255 (66%),293 (69%),4 (33%),2 (16%),29 (29%),28 (27%),30,21,15,6,15,11,5,5,-1
Fatih Karagumruk,Trabzonspor (Trabzon),4,1,32%,68%,10,13,1,2,4,4,3,1,334,740,8,9,240 (71%),634 (85%),4 (40%),4 (17%),30 (41%),53 (57%),10,13,24,7,17,5,6,2,3
FC Alaniyaspor,Kayserispor (Kayseri),3,1,43%,57%,14,0,6,1,0,0,7,1,447,589,4,13,358 (80%),507 (86%),2 (18%),4 (16%),24 (32%),35 (57%),26,16,12,12,17,8,3,0,2
İstanbulspor,Kasimpasa (Estambul),2,1,51%,49%,10,11,0,2,3,5,2,8,517,472,7,8,411 (79%),372 (78%),2 (22%),7 (24%),32 (38%),34 (43%),13,24,18,9,27,11,2,2,1
Fenerbahce (Estambul),Hatayspor,4,0,66%,34%,25,15,6,1,12,0,3,6,568,291,15,3,509 (89%),203 (69%),8 (40%),1 (25%),36 (57%),23 (43%),15,16,11,11,5,18,0,9,4
Ankaragucu (Ankara),Umraniyespor,1,2,62%,38%,17,7,3,8,5,1,1,1,617,373,16,7,546 (88%),301 (80%),4 (12%),4 (25%),28 (54%),35 (53%),8,4,8,8,11,25,1,4,-1
Estambul BFK,Antalyaspor (Antalya),2,0,46%,54%,1,4,1,3,2,1,2,2,514,586,4,4,447 (86%),499 (85%),1 (11%),0 (0%),42 (59%),41 (56%),19,19,11,7,17,8,1,0,2
Gazisehir Gaziantep,Besiktas (Estambul),1,1,35%,65%,10,20,13,3,6,2,4,1,316,562,7,14,215 (68%),470 (83%),1 (12%),7 (21%),21 (35%),38 (53%),26,15,13,13,30,17,0,2,0
Konyaspor (Konya),FC Alaniyaspor,2,2,48%,52%,10,15,3,4,2,1,4,5,449,486,6,10,358 (79%),400 (82%),4 (22%),4 (36%),40 (43%),20 (36%),14,18,12,6,12,22,3,1,0
Adana Demirspor,Fatih Karagumruk,2,1,51%,49%,16,14,4,2,4,4,2,0,461,431,10,7,385 (83%),349 (80%),3 (33%),5 (25%),32 (61%),34 (46%),23,27,10,14,24,18,2,4,1
Trabzonspor (Trabzon),Fenerbahce (Estambul),2,0,53%,47%,18,5,3,5,2,6,3,4,392,358,15,5,292 (74%),259 (72%),4 (30%),2 (18%),24 (32%),21 (33%),34,15,8,14,14,30,0,5,2
Kasimpasa (Estambul),Sivasspor (Sivas),1,2,60%,40%,10,2,3,4,6,1,2,4,569,401,8,6,471 (82%),293 (73%),8 (25%),3 (23%),30 (52%),30 (42%),18,24,10,13,13,29,1,0,-1
Hatayspor,Giresunspor (Giresun),1,1,70%,30%,11,12,2,1,4,4,3,0,648,262,9,10,565 (87%),193 (73%),3 (21%),2 (18%),26 (48%),19 (32%),13,12,7,9,14,11,3,3,0
Antalyaspor (Antalya),Ankaragucu (Ankara),0,2,54%,46%,11,2,1,1,6,1,0,2,519,433,8,7,410 (79%),321 (74%),3 (18%),6 (31%),42 (44%),41 (44%),24,26,8,14,16,25,0,2,-2
Umraniyespor,Estambul BFK,1,3,44%,56%,11,12,0,7,1,2,0,2,447,571,10,9,371 (83%),481 (84%),3 (18%),2 (22%),28 (51%),44 (53%),14,17,8,4,12,9,1,4,-2
İstanbulspor,Hatayspor,0,1,45%,55%,10,2,3,0,1,5,3,0,480,488,6,5,399 (83%),411 (84%),8 (34%),2 (18%),33 (47%),43 (50%),16,11,11,12,9,20,4,3,-1
Kayserispor (Kayseri),Konyaspor (Konya),1,2,70%,30%,15,6,4,0,1,9,2,1,605,236,10,3,528 (87%),162 (68%),11 (40%),3 (27%),29 (50%),25 (37%),10,8,6,8,10,22,0,1,-1
Fatih Karagumruk,Gazisehir Gaziantep,3,3,64%,36%,18,11,3,2,7,5,4,1,534,369,16,8,466 (87%),282 (76%),8 (25%),5 (35%),25 (69%),25 (26%),8,13,9,16,7,37,2,5,0
Estambul BFK,Galatasaray (Estambul),0,7,57%,43%,10,16,10,2,0,0,1,2,517,324,8,11,429 (82%),245 (75%),1 (10%),4 (25%),43 (52%),17 (33%),23,19,9,11,15,9,4,3,-7
Fenerbahce (Estambul),Giresunspor (Giresun),1,2,54%,46%,14,3,2,1,0,6,3,1,357,355,10,4,275 (77%),259 (72%),2 (20%),2 (33%),24 (40%),32 (34%),17,24,12,10,6,17,2,1,-1
Sivasspor (Sivas),Umraniyespor,2,2,52%,48%,13,15,2,2,0,1,6,5,425,383,12,12,333 (78%),300 (78%),2 (9%),5 (23%),26 (35%),18 (28%),20,18,12,11,19,20,4,7,0
FC Alaniyaspor,Adana Demirspor,0,0,61%,39%,16,3,6,4,6,1,5,4,549,351,13,2,467 (85%),274 (78%),8 (29%),5 (35%),31 (55%),26 (44%),27,17,5,12,17,21,1,4,0
Ankaragucu (Ankara),Trabzonspor (Trabzon),1,1,48%,52%,10,5,1,1,0,5,4,2,409,445,4,4,325 (79%),349 (78%),3 (13%),5 (26%),46 (50%),40 (47%),19,15,7,7,25,30,2,0,0
Hatayspor,Estambul BFK,3,3,36%,64%,11,1,3,1,5,1,2,3,345,613,4,10,268 (77%),557 (90%),5 (31%),1 (4%),34 (47%),37 (69%),21,12,7,4,19,14,1,2,0
Trabzonspor (Trabzon),Konyaspor (Konya),2,2,60%,40%,21,10,8,3,2,0,5,3,537,354,12,8,467 (86%),279 (78%),4 (23%),6 (40%),36 (45%),32 (42%),23,14,13,10,11,15,3,6,0
Antalyaspor (Antalya),Fatih Karagumruk,4,2,55%,45%,22,16,8,2,9,1,2,1,428,358,15,11,369 (86%),292 (81%),8 (33%),4 (40%),29 (56%),21 (42%),9,16,4,8,14,17,5,3,2
Gazisehir Gaziantep,Kayserispor (Kayseri),1,2,48%,52%,16,12,4,3,4,6,2,1,441,465,13,7,357 (80%),382 (82%),7 (38%),2 (10%),38 (48%),26 (44%),15,13,16,8,12,11,3,3,-1
Galatasaray (Estambul),Besiktas (Estambul),2,1,54%,46%,19,12,12,2,2,10,7,0,326,284,11,7,245 (75%),203 (71%),5 (15%),5 (19%),29 (44%),28 (43%),12,21,8,12,28,29,3,3,1
Giresunspor (Giresun),İstanbulspor,3,2,56%,44%,16,12,4,2,9,2,2,1,493,394,11,5,394 (79%),280 (71%),5 (16%),3 (30%),49 (53%),21 (25%),19,19,10,9,11,30,1,1,1
Kasimpasa (Estambul),Ankaragucu (Ankara),1,1,42%,58%,11,12,2,3,4,0,0,3,339,501,7,7,255 (75%),431 (86%),6 (31%),1 (8%),28 (35%),37 (49%),20,7,15,3,15,11,1,2,0
Umraniyespor,FC Alaniyaspor,3,1,32%,68%,12,2,3,4,7,6,3,1,284,591,7,7,201 (70%),502 (84%),7 (53%),5 (20%),25 (33%),29 (60%),16,10,16,2,21,8,2,3,2
Sivasspor (Sivas),Antalyaspor (Antalya),0,2,61%,39%,2,1,2,3,3,3,2,2,601,386,4,6,497 (82%),287 (74%),2 (14%),1 (16%),41 (57%),25 (29%),15,31,8,11,7,11,2,0,-2
İstanbulspor,Fenerbahce (Estambul),2,5,37%,63%,13,0,1,0,1,2,2,7,363,621,3,10,280 (77%),526 (84%),2 (22%),3 (33%),33 (47%),32 (46%),21,12,21,6,17,10,1,0,-3
Besiktas (Estambul),Umraniyespor,5,2,48%,52%,16,10,2,3,1,0,9,4,392,420,11,7,319 (81%),342 (81%),3 (15%),4 (16%),31 (48%),29 (59%),19,13,11,10,23,19,1,5,3
Kayserispor (Kayseri),Adana Demirspor,2,2,60%,40%,11,14,1,4,8,3,3,2,556,378,11,10,491 (88%),314 (83%),7 (25%),0 (0%),37 (69%),26 (46%),17,11,7,13,7,21,3,4,0
Ankaragucu (Ankara),Hatayspor,4,1,52%,48%,17,3,1,0,1,6,5,2,441,393,12,3,375 (85%),318 (80%),2 (16%),1 (5%),10 (22%),48 (64%),10,10,11,7,25,14,0,5,3
FC Alaniyaspor,Gazisehir Gaziantep,2,0,52%,48%,15,2,3,1,4,1,6,2,540,501,7,9,459 (85%),426 (85%),2 (25%),4 (21%),28 (44%),33 (47%),17,10,4,11,17,11,4,3,2
Konyaspor (Konya),Kasimpasa (Estambul),1,1,61%,39%,17,5,2,6,2,1,1,4,454,303,15,6,371 (81%),208 (68%),9 (30%),0 (0%),47 (60%),31 (32%),11,12,9,8,17,23,0,2,0
Fatih Karagumruk,Galatasaray (Estambul),0,2,30%,70%,35,11,12,3,12,3,11,2,231,532,2,28,158 (68%),469 (88%),0 (0%),10 (33%),19 (29%),44 (72%),16,16,6,7,25,16,10,1,-2
Hatayspor,Besiktas (Estambul),2,1,36%,64%,18,2,6,1,11,2,2,4,365,479,7,12,283 (77%),410 (85%),2 (20%),7 (17%),37 (45%),32 (54%),20,15,8,10,39,11,4,1,1
Galatasaray (Estambul),FC Alaniyaspor,2,2,39%,61%,18,15,12,3,4,7,5,4,281,547,11,11,208 (74%),462 (84%),4 (23%),6 (27%),34 (38%),29 (46%),10,17,6,5,18,17,4,10,0
Adana Demirspor,Konyaspor (Konya),1,1,54%,46%,24,12,13,7,3,2,2,3,456,372,15,9,369 (80%),297 (79%),3 (23%),3 (18%),24 (38%),40 (52%),18,14,7,21,10,18,3,3,0
Kasimpasa (Estambul),Kayserispor (Kayseri),0,1,53%,47%,23,11,10,5,2,10,6,0,432,387,18,7,355 (82%),301 (77%),11 (30%),7 (35%),28 (49%),43 (52%),17,21,11,12,9,22,0,10,-1
Fenerbahce (Estambul),Estambul BFK,1,0,57%,43%,14,5,0,6,3,3,5,1,445,350,11,3,349 (78%),265 (75%),6 (33%),2 (50%),38 (59%),29 (35%),18,23,9,6,8,19,1,2,1
Trabzonspor (Trabzon),Sivasspor (Sivas),1,0,59%,41%,15,12,6,4,4,3,0,1,594,411,9,9,498 (83%),326 (79%),4 (40%),4 (23%),36 (52%),24 (32%),14,12,14,16,11,13,5,3,1
Umraniyespor,Fatih Karagumruk,1,3,52%,48%,12,2,3,5,4,3,4,0,422,396,8,8,335 (79%),305 (77%),5 (20%),3 (17%),33 (49%),23 (34%),13,6,16,13,14,18,4,0,-2
Antalyaspor (Antalya),İstanbulspor,2,1,65%,35%,20,11,7,1,11,4,3,1,524,298,13,8,428 (81%),205 (68%),5 (16%),3 (50%),34 (61%),23 (28%),18,22,5,19,10,30,5,6,1
Sivasspor (Sivas),Giresunspor (Giresun),3,0,48%,52%,16,11,5,4,2,0,1,5,462,498,12,10,375 (81%),416 (83%),4 (22%),4 (44%),39 (42%),33 (62%),20,22,4,2,7,14,1,3,3
Besiktas (Estambul),Trabzonspor (Trabzon),2,2,61%,39%,17,10,3,2,4,3,2,1,481,353,13,9,394 (81%),254 (71%),10 (31%),4 (44%),43 (61%),23 (24%),15,19,10,12,6,24,2,6,0
Estambul BFK,İstanbulspor,2,0,58%,42%,11,10,1,5,5,2,5,1,504,377,11,8,433 (85%),287 (76%),5 (29%),4 (28%),26 (56%),43 (38%),9,20,4,8,15,11,1,3,2
Kayserispor (Kayseri),Galatasaray (Estambul),2,1,39%,61%,18,12,11,2,3,6,15,1,361,547,15,10,271 (75%),454 (83%),6 (50%),16 (37%),26 (36%),26 (56%),28,18,9,19,38,7,2,3,1
Konyaspor (Konya),Gazisehir Gaziantep,0,1,57%,43%,19,5,2,8,5,1,2,2,469,374,11,6,407 (86%),309 (82%),13 (36%),4 (36%),36 (66%),30 (50%),16,15,4,4,9,32,1,5,-1
Kasimpasa (Estambul),Adana Demirspor,1,4,52%,48%,23,14,9,5,9,4,5,2,479,448,15,11,405 (84%),362 (80%),8 (22%),3 (27%),40 (57%),27 (45%),18,15,16,13,13,21,1,7,-3
Fatih Karagumruk,Hatayspor,3,0,54%,46%,14,13,5,6,1,0,5,6,443,455,9,9,371 (83%),382 (83%),7 (31%),7 (28%),31 (51%),40 (56%),7,10,10,5,18,15,0,2,3
FC Alaniyaspor,Antalyaspor (Antalya),3,2,53%,47%,13,1,4,7,2,4,4,2,491,365,4,9,410 (83%),296 (81%),5 (19%),4 (33%),32 (50%),27 (37%),25,21,7,9,10,17,5,2,1
Trabzonspor (Trabzon),Kasimpasa (Estambul),0,0,59%,41%,20,11,6,1,10,3,2,3,522,348,14,4,438 (83%),252 (72%),1 (3%),3 (15%),33 (49%),32 (35%),6,22,12,11,20,29,1,3,0
Fenerbahce (Estambul),Fatih Karagumruk,5,4,54%,46%,16,5,0,2,1,3,0,1,399,324,9,4,311 (77%),240 (74%),2 (12%),2 (15%),30 (36%),28 (40%),14,20,8,6,11,23,0,4,1
Hatayspor,FC Alaniyaspor,1,0,30%,70%,11,10,4,3,5,5,0,4,277,708,8,6,191 (68%),625 (88%),6 (30%),4 (20%),24 (29%),27 (50%),17,8,11,7,23,13,5,3,1
Umraniyespor,Kayserispor (Kayseri),2,2,49%,51%,10,12,2,4,0,1,3,4,410,441,9,9,321 (78%),363 (82%),4 (26%),5 (33%),43 (46%),28 (38%),11,14,14,13,8,15,1,3,0
Giresunspor (Giresun),Besiktas (Estambul),0,1,53%,47%,14,4,5,5,8,3,0,4,362,327,6,8,285 (78%),251 (76%),3 (20%),6 (27%),23 (35%),27 (45%),17,16,12,6,19,16,5,1,-1
Antalyaspor (Antalya),Konyaspor (Konya),1,1,39%,61%,12,11,3,2,2,3,2,1,315,478,8,9,241 (76%),396 (82%),2 (22%),5 (23%),21 (31%),31 (47%),28,22,13,8,19,11,4,2,0
İstanbulspor,Ankaragucu (Ankara),1,2,55%,45%,10,14,3,2,5,2,4,1,473,395,8,12,373 (78%),305 (77%),8 (36%),1 (8%),36 (48%),28 (36%),20,24,9,8,15,22,5,1,-1
Gazisehir Gaziantep,Adana Demirspor,1,1,41%,59%,22,0,6,2,5,2,4,2,313,468,6,12,248 (79%),405 (86%),3 (16%),5 (29%),32 (45%),33 (66%),11,9,10,9,21,11,5,2,0
Besiktas (Estambul),Fenerbahce (Estambul),0,0,48%,52%,1,4,3,4,7,4,2,2,372,417,9,6,271 (72%),311 (74%),7 (58%),2 (22%),32 (31%),25 (28%),23,14,7,3,21,11,2,1,0
Konyaspor (Konya),Umraniyespor,1,0,52%,48%,16,0,7,4,8,4,0,3,410,316,5,11,337 (82%),245 (77%),7 (36%),5 (20%),39 (48%),23 (31%),12,17,8,7,20,12,6,2,1
FC Alaniyaspor,Giresunspor (Giresun),1,1,70%,30%,14,3,1,0,1,11,3,2,594,257,14,6,514 (86%),180 (70%),6 (22%),2 (22%),25 (55%),31 (37%),10,9,6,9,8,27,5,4,0
Sivasspor (Sivas),Hatayspor,1,2,68%,32%,29,13,8,1,12,4,3,0,517,259,23,4,431 (83%),150 (57%),14 (31%),3 (37%),30 (54%),20 (20%),10,19,6,9,6,33,0,7,-1
Adana Demirspor,Galatasaray (Estambul),0,0,45%,55%,23,3,10,4,7,3,2,0,357,437,5,19,269 (75%),356 (81%),1 (12%),2 (12%),30 (40%),19 (32%),18,16,20,12,20,14,4,2,0
Ankaragucu (Ankara),Estambul BFK,1,2,48%,52%,10,4,3,1,0,8,6,2,395,442,7,6,314 (79%),373 (84%),6 (23%),1 (8%),20 (36%),41 (55%),18,16,9,15,7,21,1,3,-1
Kayserispor (Kayseri),Trabzonspor (Trabzon),1,2,45%,55%,14,20,6,6,0,1,7,6,389,468,9,12,320 (82%),399 (85%),4 (23%),3 (14%),23 (40%),33 (54%),8,10,14,6,26,19,6,3,-1
Kasimpasa (Estambul),Gazisehir Gaziantep,1,0,53%,47%,11,2,1,4,6,6,1,1,407,371,8,6,328 (80%),282 (76%),4 (23%),6 (37%),24 (41%),31 (41%),13,14,9,9,15,20,1,2,1
Fenerbahce (Estambul),FC Alaniyaspor,5,0,59%,41%,17,11,3,1,12,3,0,4,518,352,13,7,445 (85%),286 (81%),5 (27%),3 (30%),27 (64%),22 (56%),17,26,11,9,7,19,2,6,5
Estambul BFK,Fatih Karagumruk,0,0,68%,32%,4,1,6,3,3,1,0,1,633,291,7,4,551 (87%),222 (76%),4 (21%),1 (7%),40 (51%),28 (48%),18,13,9,10,11,34,3,2,0
Trabzonspor (Trabzon),Gazisehir Gaziantep,3,2,62%,38%,21,10,4,3,1,0,9,2,559,332,16,8,475 (84%),256 (77%),8 (23%),3 (27%),24 (44%),34 (40%),16,14,10,14,9,40,1,5,1
Antalyaspor (Antalya),Adana Demirspor,0,3,45%,55%,13,1,3,6,2,2,3,1,351,555,2,12,297 (84%),501 (90%),3 (15%),2 (18%),26 (50%),34 (69%),16,15,5,3,9,19,4,4,-3
İstanbulspor,Besiktas (Estambul),2,2,50%,50%,2,1,3,5,1,4,1,3,396,398,5,6,290 (73%),317 (79%),2 (16%),2 (13%),32 (29%),39 (53%),23,15,7,11,20,17,3,1,0
Umraniyespor,Kasimpasa (Estambul),1,2,50%,50%,20,13,5,4,0,1,11,5,337,324,16,8,251 (74%),237 (73%),9 (32%),6 (25%),31 (49%),42 (42%),8,11,11,22,23,23,3,6,-1
Galatasaray (Estambul),Konyaspor (Konya),2,1,54%,46%,18,19,10,7,4,6,4,1,495,401,12,14,440 (88%),351 (87%),4 (23%),7 (38%),20 (47%),34 (64%),18,18,5,9,10,14,4,4,1
Hatayspor,Kayserispor (Kayseri),0,4,58%,42%,16,4,2,0,2,8,3,3,523,399,12,6,459 (87%),333 (83%),8 (20%),1 (9%),24 (42%),35 (51%),15,16,7,8,12,27,2,4,-4
Besiktas (Estambul),Estambul BFK,0,1,49%,51%,21,15,4,1,5,4,0,1,397,436,13,6,318 (80%),353 (80%),10 (28%),3 (30%),38 (51%),35 (50%),16,14,11,11,11,33,0,2,-1
Gazisehir Gaziantep,Umraniyespor,1,1,44%,56%,18,10,0,2,1,1,2,3,389,477,4,14,301 (77%),412 (86%),0 (0%),14 (43%),30 (37%),49 (68%),17,8,10,16,24,12,5,3,0
Kasimpasa (Estambul),Galatasaray (Estambul),2,3,37%,63%,13,22,11,2,5,6,8,0,278,485,10,21,187 (67%),400 (82%),7 (31%),6 (26%),19 (24%),37 (52%),12,12,13,6,18,18,3,5,-1
